date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-04-03,235.8,236.03,233.91,235.33,85546486,85546486,-0.41,-0.174,235.0192,"Apr 3, 17",-0.0075070642317911565
2017-04-04,235,235.58,234.555,235.48,56466195,56466195,0.15,0.064,235.1896,"Apr 4, 17",-0.006874446459449301
2017-04-05,236.26,237.39,234.54,234.78,108800604,108800604,-0.7,-0.297,235.9831,"Apr 5, 17",-0.009826662730378358
2017-04-06,234.94,236.04,234.425,235.44,69135757,69135757,0.66,0.281,235.2677,"Apr 6, 17",-0.007043144532073788
2017-04-07,235.15,236,234.64,235.2,74386480,74386480,-0.24,-0.102,235.2887,"Apr 7, 17",-0.008055332967820949
2017-04-10,235.36,236.255,234.73,235.34,67615302,67615302,0.14,0.06,235.5311,"Apr 10, 17",-0.007464889713635065
2017-04-11,234.9,235.18,233.34,235.06,88045276,88045276,-0.28,-0.119,234.2622,"Apr 11, 17",-0.00864577622200671
2017-04-12,234.74,234.96,233.77,234.03,81864436,81864436,-1.03,-0.438,234.2224,"Apr 12, 17",-0.012989751592088112
2017-04-13,233.64,234.49,232.51,232.51,92880394,92880394,-1.52,-0.649,233.4099,"Apr 13, 17",-0.019400278351819924
2017-04-17,233.11,234.57,232.88,234.57,68405367,68405367,2.06,0.886,233.8827,"Apr 17, 17",-0.010712327611657123
2017-04-18,233.72,234.49,233.08,233.87,83225821,83225821,-0.7,-0.298,233.7924,"Apr 18, 17",-0.013664543882586179
2017-04-19,234.52,234.95,233.18,233.44,68699868,68699868,-0.43,-0.184,233.969,"Apr 19, 17",-0.0154780481632998
2017-04-20,234.15,235.845,233.78,235.34,92572186,92572186,1.9,0.814,234.9867,"Apr 20, 17",-0.007464889713635065
2017-04-21,235.25,235.31,234.13,234.59,110389847,110389847,-0.75,-0.319,234.7305,"Apr 21, 17",-0.010627978575344818
2017-04-24,237.18,237.41,234.5628,237.17,119209877,119209877,2.58,1.1,236.8922,"Apr 24, 17",0.00025304710893667013
2017-04-25,237.91,238.95,237.81,238.55,76698265,76698265,1.38,0.582,238.4978,"Apr 25, 17",0.006073130614482719
2017-04-26,238.51,239.53,238.35,238.4,84702455,84702455,-0.15,-0.063,238.8597,"Apr 26, 17",0.005440512842140745
2017-04-27,238.77,238.95,237.98,238.6,57410326,57410326,0.2,0.084,238.4975,"Apr 27, 17",0.006284003205263298
2017-04-28,238.9,238.93,237.93,238.08,63532845,63532845,-0.52,-0.218,238.2164,"Apr 28, 17",0.004090928261144612
2017-05-01,238.68,239.17,238.195,238.68,66882521,66882521,0.6,0.252,238.721,"May 1, 17",0.006621399350512391
2017-05-02,238.84,238.98,238.3,238.77,57375732,57375732,0.09,0.038,238.6123,"May 2, 17",0.007000970013917576
2017-05-03,238.29,238.8775,237.7,238.48,73137731,73137731,-0.29,-0.121,238.2685,"May 3, 17",0.005777908987389718
2017-05-04,238.83,238.9225,237.78,238.76,61443570,61443570,0.28,0.117,238.48,"May 4, 17",0.0069587954957613645
2017-05-05,239.19,239.72,238.68,239.7,62001269,62001269,0.94,0.394,239.1746,"May 5, 17",0.010923200202437582
2017-05-08,239.75,239.92,239.17,239.66,48385730,48385730,-0.04,-0.017,239.513,"May 8, 17",0.010754502129813095
2017-05-09,239.96,240.19,239.04,239.44,51363200,51363200,-0.22,-0.092,239.6771,"May 9, 17",0.009826662730378237
2017-05-10,239.39,239.87,239.15,239.87,54293799,54293799,0.43,0.18,239.5931,"May 10, 17",0.01164016701109186
2017-05-11,239.35,239.57,238.13,239.38,62358346,62358346,-0.49,-0.204,238.9149,"May 11, 17",0.009573615621441448
2017-05-12,239.09,239.4273,238.67,238.98,53912730,53912730,-0.4,-0.167,238.9538,"May 12, 17",0.007886634895196221
2017-05-15,239.47,240.44,239.45,240.3,61918937,61918937,1.32,0.552,240.1109,"May 15, 17",0.013453671291805481
2017-05-16,240.64,240.67,239.63,240.08,51241791,51241791,-0.22,-0.092,240.0828,"May 16, 17",0.012525831892370625
2017-05-17,238.1,238.64,235.75,235.82,172174107,172174107,-4.26,-1.774,236.9469,"May 17, 17",-0.005440512842140865
2017-05-18,235.73,237.75,235.43,236.77,107047656,107047656,0.95,0.403,236.5693,"May 18, 17",-0.0014339336173084367
2017-05-19,237.33,239.08,237.27,238.31,115011373,115011373,1.54,0.65,238.2627,"May 19, 17",0.00506094217873556
2017-05-22,238.9,239.71,238.82,239.52,61010602,61010602,1.21,0.508,239.3033,"May 22, 17",0.010164058875627331
2017-05-23,239.95,240.24,239.51,240.05,48341683,48341683,0.53,0.221,239.9325,"May 23, 17",0.01239930833790223
2017-05-24,240.32,240.73,239.93,240.61,49181099,49181099,0.56,0.233,240.3201,"May 24, 17",0.014761081354645522
2017-05-25,241.2,242.08,240.96,241.76,64071661,64071661,1.15,0.478,241.6357,"May 25, 17",0.019611150942600384
2017-05-26,241.54,241.9,241.45,241.71,46629905,46629905,-0.05,-0.021,241.6979,"May 26, 17",0.019400278351819806
2017-05-30,241.34,241.79,241.16,241.5,35201897,35201897,-0.21,-0.087,241.5267,"May 30, 17",0.01851461347054104
2017-05-31,241.84,241.88,240.64,241.44,91796016,91796016,-0.06,-0.025,241.1602,"May 31, 17",0.01826156636160425
2017-06-01,241.97,243.38,241.64,243.36,68962024,68962024,1.92,0.795,242.4975,"Jun 1, 17",0.02635907384758129
2017-06-02,243.42,244.35,243.08,244.17,88666128,88666128,0.81,0.333,243.8221,"Jun 2, 17",0.029775209818227715
2017-06-05,243.97,244.3,243.76,243.99,44698825,44698825,-0.18,-0.074,244.0411,"Jun 5, 17",0.029016068491417465
2017-06-06,243.34,243.98,243.12,243.21,50375430,50375430,-0.78,-0.32,243.5112,"Jun 6, 17",0.025726456075239316
2017-06-07,243.6,243.92,242.83,243.66,54144311,54144311,0.45,0.185,243.5143,"Jun 7, 17",0.02762430939226512
2017-06-08,243.77,244.33,243.17,243.78,65950691,65950691,0.12,0.049,243.6611,"Jun 8, 17",0.028130403610138698
2017-06-09,244.09,245.01,241.95,243.41,132256362,132256362,-0.37,-0.152,243.5364,"Jun 9, 17",0.026569946438361868
2017-06-12,243.13,243.42,242.38,243.36,86108102,86108102,-0.05,-0.021,242.8281,"Jun 12, 17",0.02635907384758129
2017-06-13,243.98,244.61,243.5799,244.55,60066953,60066953,1.19,0.489,244.1798,"Jun 13, 17",0.03137784150816076
2017-06-14,244.86,244.87,243.29,244.24,78602311,78602311,-0.31,-0.127,244.1004,"Jun 14, 17",0.030070431445320716
2017-06-15,242.68,243.91,242.36,243.77,66464888,66464888,-0.47,-0.192,243.1915,"Jun 15, 17",0.02808822909198261
2017-06-16,242.77,242.83,241.6337,242.64,84553097,84553097,-1.13,-0.464,242.2384,"Jun 16, 17",0.02332250854033981
2017-06-19,243.59,244.73,243.48,244.66,65123802,65123802,2.02,0.833,244.2852,"Jun 19, 17",0.03184176120787813
2017-06-20,244.25,244.26,242.99,243.01,56906368,56906368,-1.65,-0.674,243.5575,"Jun 20, 17",0.024882965712116643
2017-06-21,243.42,243.59,242.41,242.95,55977569,55977569,-0.06,-0.025,242.9654,"Jun 21, 17",0.02462991860317985
2017-06-22,242.96,243.53,242.64,242.84,44148059,44148059,-0.11,-0.045,243.0874,"Jun 22, 17",0.024165998903462483
2017-06-23,242.91,243.51,242.47,243.13,66986801,66986801,0.29,0.119,243.053,"Jun 23, 17",0.025389059929990222
2017-06-26,243.9,244.38,243.045,243.29,56700477,56700477,0.16,0.066,243.5708,"Jun 26, 17",0.02606385222048829
2017-06-27,243.04,243.38,241.31,241.33,82247666,82247666,-1.96,-0.806,242.2306,"Jun 27, 17",0.017797646661886882
2017-06-28,242.5,243.715,242.23,243.49,70042599,70042599,2.16,0.895,243.1663,"Jun 28, 17",0.026907342583610962
2017-06-29,243.66,243.72,239.955,241.35,106949719,106949719,-2.14,-0.879,241.5426,"Jun 29, 17",0.017881995698199066
2017-06-30,242.28,242.71,241.575,241.8,86820694,86820694,0.45,0.186,242.1049,"Jun 30, 17",0.01977984901522499
2017-07-03,242.88,243.38,242.21,242.21,39153806,39153806,0.41,0.17,242.8711,"Jul 3, 17",0.02150900425962631
2017-07-05,242.63,243.01,241.7,242.77,54427596,54427596,0.56,0.231,242.4903,"Jul 5, 17",0.0238707772763696
2017-07-06,241.89,242.03,240.34,240.55,66115317,66115317,-2.22,-0.914,241.0926,"Jul 6, 17",0.014508034245708732
2017-07-07,241.21,242.28,240.5645,242.11,57972268,57972268,1.56,0.649,241.8176,"Jul 7, 17",0.02108725907806503
2017-07-10,241.95,242.8,241.76,242.37,36663274,36663274,0.26,0.107,242.3966,"Jul 10, 17",0.022183796550124375
2017-07-11,242.16,242.55,240.85,242.19,50354614,50354614,-0.18,-0.074,241.924,"Jul 11, 17",0.021424655223314007
2017-07-12,243.3,244.2,243.3,244.01,59610405,59610405,1.82,0.751,243.8649,"Jul 12, 17",0.029100417527729648
2017-07-13,244.02,244.55,243.76,244.42,39471637,39471637,0.41,0.168,244.2664,"Jul 13, 17",0.030829572772130966
2017-07-14,244.43,245.97,244.31,245.56,60262692,60262692,1.14,0.466,245.291,"Jul 14, 17",0.03563746784192986
2017-07-17,245.47,245.91,245.33,245.53,33531917,33531917,-0.03,-0.012,245.6054,"Jul 17, 17",0.03551094428746146
2017-07-18,245.06,245.72,244.67,245.66,42742498,42742498,0.13,0.053,245.2721,"Jul 18, 17",0.03605921302349113
2017-07-19,246.02,247,246.01,246.99,51034260,51034260,1.33,0.541,246.6391,"Jul 19, 17",0.04166842393825648
2017-07-20,247.28,247.42,246.47,247.1,47135183,47135183,0.11,0.045,247.0509,"Jul 20, 17",0.04213234363797385
2017-07-21,246.44,246.91,246.18,246.88,88711019,88711019,-0.22,-0.089,246.5744,"Jul 21, 17",0.041204504238539
2017-07-24,246.79,246.98,246.28,246.82,46622256,46622256,-0.06,-0.024,246.6662,"Jul 24, 17",0.04095145712960221
2017-07-25,247.68,247.8,247.16,247.42,54915591,54915591,0.6,0.243,247.4867,"Jul 25, 17",0.043481928218969984
2017-07-26,247.75,247.79,247.13,247.43,47575422,47575422,0.01,0.004,247.4859,"Jul 26, 17",0.043524102737126195
2017-07-27,247.96,248,245.68,247.2,70766568,70766568,-0.23,-0.093,246.7886,"Jul 27, 17",0.04255408881953513
2017-07-28,246.65,247.06,246.13,246.91,50088359,50088359,-0.29,-0.117,246.6498,"Jul 28, 17",0.04133102779300739
2017-07-31,247.37,247.48,246.53,246.77,65838659,65838659,-0.14,-0.057,246.9338,"Jul 31, 17",0.04074058453882163
2017-08-01,247.46,247.5,246.716,247.32,55050401,55050401,0.55,0.223,247.1833,"Aug 1, 17",0.04306018303740871
2017-08-02,247.47,247.6,246.37,247.44,47211216,47211216,0.12,0.049,247.0279,"Aug 2, 17",0.04356627725528229
2017-08-03,247.31,247.34,246.64,246.96,40855997,40855997,-0.48,-0.194,247.0143,"Aug 3, 17",0.04154190038378809
2017-08-04,247.52,247.79,246.97,247.41,60191838,60191838,0.45,0.182,247.322,"Aug 4, 17",0.04343975370081389
2017-08-07,247.49,247.87,247.37,247.87,31995021,31995021,0.46,0.186,247.6533,"Aug 7, 17",0.04537978153599591
2017-08-08,247.51,248.91,246.83,247.26,61719353,61719353,-0.61,-0.246,247.7578,"Aug 8, 17",0.04280713592847192
2017-08-09,246.47,247.31,246.06,247.25,62632619,62632619,-0.01,-0.004,246.7097,"Aug 9, 17",0.04276496141031583
2017-08-10,246.29,246.44,243.7,243.76,120479470,120479470,-3.49,-1.412,244.7578,"Aug 10, 17",0.028046054573826397
2017-08-11,244.02,244.8,243.75,244.12,74869947,74869947,0.36,0.148,244.1965,"Aug 11, 17",0.029564337227447137
2017-08-14,245.59,246.79,245.55,246.54,73291919,73291919,2.42,0.991,246.4021,"Aug 14, 17",0.03977057062123056
2017-08-15,246.98,247,246.16,246.51,55242746,55242746,-0.03,-0.012,246.5814,"Aug 15, 17",0.03964404706676217
2017-08-16,247.11,247.57,246.45,246.94,56715544,56715544,0.43,0.174,246.9974,"Aug 16, 17",0.041457551347475786
2017-08-17,246.24,246.6,243.09,243.09,128490396,128490396,-3.85,-1.559,244.5658,"Aug 17, 17",0.025220361857365734
2017-08-18,242.9,244.189,242.2,242.71,136747986,136747986,-0.38,-0.156,243.0035,"Aug 18, 17",0.02361773016743281
2017-08-21,242.64,243.2,241.83,242.9,65469736,65469736,0.19,0.078,242.6381,"Aug 21, 17",0.024419046012399272
2017-08-22,243.57,245.62,243.55,245.44,63140101,63140101,2.54,1.046,244.881,"Aug 22, 17",0.03513137362405628
