date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-04-17,31.84,31.92,31.42,31.63,1374428,1374428,0.13,0.413,31.5372,"Apr 17, 17",-0.05975029726516057
2017-04-18,31.04,31.24,30.56,30.83,2210294,2210294,-0.8,-2.529,30.9196,"Apr 18, 17",-0.08353151010701552
2017-04-19,31.13,31.225,30.535,30.61,1798341,1798341,-0.22,-0.714,30.8489,"Apr 19, 17",-0.09007134363852559
2017-04-20,30.89,31.16,30.8,31.08,2270433,2270433,0.47,1.535,31.0033,"Apr 20, 17",-0.07609988109393585
2017-04-21,31.03,31.13,30.66,30.75,1560508,1560508,-0.33,-1.062,30.8757,"Apr 21, 17",-0.08590963139120096
2017-04-24,31.42,31.56,31.26,31.28,1326419,1326419,0.53,1.724,31.3535,"Apr 24, 17",-0.07015457788347204
2017-04-25,31.23,31.425,31.03,31.41,1754001,1754001,0.13,0.416,31.2397,"Apr 25, 17",-0.06629013079667063
2017-04-26,30.68,31.46,30.68,31.26,1834885,1834885,-0.15,-0.478,31.1828,"Apr 26, 17",-0.0707491082045184
2017-04-27,30.8,30.81,29.92,30.22,1812392,1812392,-1.04,-3.327,30.255,"Apr 27, 17",-0.1016646848989299
2017-04-28,30.59,30.83,30.505,30.73,1073645,1073645,0.51,1.688,30.653,"Apr 28, 17",-0.08650416171224733
2017-05-01,30.8,31.06,30.73,30.89,958336,958336,0.16,0.521,30.9023,"May 1, 17",-0.08174791914387633
2017-05-02,30.29,30.62,30.29,30.5,1407048,1407048,-0.39,-1.263,30.4473,"May 2, 17",-0.09334126040428063
2017-05-03,29.58,29.89,29.52,29.58,1879949,1879949,-0.92,-3.016,29.7005,"May 3, 17",-0.12068965517241385
2017-05-04,28.87,29.25,28.73,29.12,1820245,1820245,-0.46,-1.555,29.02,"May 4, 17",-0.13436385255648037
2017-05-05,29.41,29.88,29.36,29.84,1299533,1299533,0.72,2.473,29.6977,"May 5, 17",-0.11296076099881096
2017-05-08,29.34,29.55,29.27,29.45,1068392,1068392,-0.39,-1.307,29.422,"May 8, 17",-0.12455410225921526
2017-05-09,30.14,30.18,29.81,29.88,3133401,3133401,0.43,1.46,29.9738,"May 9, 17",-0.11177170035671824
2017-05-10,30.32,30.6,30.11,30.36,977908,977908,0.48,1.606,30.3668,"May 10, 17",-0.09750297265160526
2017-05-11,30.5,30.5,30.23,30.44,1060768,1060768,0.08,0.264,30.388,"May 11, 17",-0.09512485136741972
2017-05-12,30.2,30.95,30.15,30.33,1574395,1574395,-0.11,-0.361,30.3287,"May 12, 17",-0.09839476813317485
2017-05-15,31,31.09,30.82,30.89,846883,846883,0.56,1.846,30.9524,"May 15, 17",-0.08174791914387633
2017-05-16,31.15,31.445,31.125,31.27,855357,855357,0.38,1.23,31.2708,"May 16, 17",-0.07045184304399527
2017-05-17,30.87,31.21,30.77,30.77,1205173,1205173,-0.5,-1.599,30.9672,"May 17, 17",-0.08531510107015461
2017-05-18,30.85,31.33,30.665,31.15,1735538,1735538,0.38,1.235,31.0352,"May 18, 17",-0.07401902497027354
2017-05-19,31.61,31.97,31.58,31.79,1257406,1257406,0.64,2.055,31.7951,"May 19, 17",-0.05499405469678958
2017-05-22,31.87,31.96,31.68,31.88,1120438,1120438,0.09,0.283,31.8152,"May 22, 17",-0.052318668252080903
2017-05-23,31.56,31.67,31.23,31.48,1776204,1776204,-0.4,-1.255,31.4552,"May 23, 17",-0.06420927467300833
2017-05-24,31.26,31.63,31.24,31.46,1405812,1405812,-0.02,-0.064,31.4635,"May 24, 17",-0.06480380499405469
2017-05-25,31.6,31.88,31.185,31.28,1390552,1390552,-0.18,-0.572,31.4296,"May 25, 17",-0.07015457788347204
2017-05-26,31.23,31.27,30.88,30.9,782255,782255,-0.38,-1.215,31.0187,"May 26, 17",-0.0814506539833532
2017-05-30,31.08,31.2,30.96,31.05,797640,797640,0.15,0.485,31.0975,"May 30, 17",-0.07699167657550535
2017-05-31,30.6,30.64,30.29,30.3,1253561,1253561,-0.75,-2.415,30.4261,"May 31, 17",-0.09928656361474435
2017-06-01,30.34,30.76,30.26,30.55,1264737,1264737,0.25,0.825,30.552,"Jun 1, 17",-0.09185493460166468
2017-06-02,30.42,30.81,30.28,30.64,1313613,1313613,0.09,0.295,30.5694,"Jun 2, 17",-0.089179548156956
2017-06-05,30.42,30.47,30.155,30.18,944803,944803,-0.46,-1.501,30.2807,"Jun 5, 17",-0.10285374554102261
2017-06-06,30.22,30.63,30.2,30.55,1243520,1243520,0.37,1.226,30.4698,"Jun 6, 17",-0.09185493460166468
